symbol,t_score
BBREALTY,
BBTC,100
BBTCL,88
BCCFUBA,88
BCCL,
BCG,0
BCHL,
BCLENTERPR,0
BCLIND,12
BCONCEPTS,38
BCP,
BCPL,38
BDH,75
BDL,75
BDR,
BEACON,-1
BEARDSELL,12
BECTORFOOD,75
BEDMUTHA,38
BEEKAY,100
BEELE,
BEEYU,50
BEL,75
BELLACASA,75
BEMHY,100
BEML,75
BENARA,
BENARAS,38
BENCHMARK,
BENGALASM,88
BENGALS,-1
BENGALT,50
BENTCOM,
BEPL,75
BERGEPAINT,38
BERLDRG,38
BERVINL,38
BERYLSE,50
BESTAGRO,50
BESTEAST,12
BETA,12.5
BETALA,
BETXIND,0
BEWLTD,12.5
BFFL,25
BFINVEST,75
BFLAFL,0
BFUTILITIE,62
BGIL,
BGJL,50
BGLOBAL,25
BGPL,
BGRENERGY,0
BGWTATO,38
BHAGCHEM,62
BHAGERIA,88
BHAGWOX,25
BHAGYANGR,50
BHAGYFN,
BHALCHANDR,
BHANDARI,50
BHANDERI,
BHARAT,38
BHARATAGRI,25
BHARATFORG,75
BHARATGEAR,50
BHARATIDIL,
BHARATRAS,62
BHARATSE,38
BHARATWIRE,0
BHARTIARTL,75
BHARTIHEXA,75
BHASKAGR,100
BHATEXT,83
BHATIA,0
BHEEMACEM,0
BHEL,75
BHILSPIN,25
BHINVIT,
BHUDEVI,75
BI,0
BIBCL,38
BIGBLOC,50
BIHSPONG,12
BIJHANS,25
BIKAJI,75
BIL,75
BILENERGY,
BILLWIN,
BIMETAL,50
BINANIIND,12
BINDALEXPO,
BINNY,0
BINNYMILLS,
BIOCON,75
BIOFILCHEM,50
BIOGEN,12
BIOPAC,
BIRDYS,16.67
BIRET,
BIRLACABLE,12
BIRLACORPN,62
BIRLACOT,
BIRLAMONEY,75
BIRLAPREC,38
BIRLATR,
BIRLATYRE,
BISIL,75
BITL,
BITS,50
BIZOTIC,
BJDUP,
BKMINDST,12
BKV,38
BLACKROSE,38
BLAL,50
BLBLIMITED,12
BLCISER,
BLFL,
BLIL,75
BLISSGVS,12
BLKASHYAP,100
BLOIN,25
BLOOM,88
BLS,62
BLSE,25
BLSINFOTE,0
BLUCHIP,
BLUEBLENDS,
BLUECHIP,100
BLUECHIPT,25
BLUECLOUDS,100
BLUECOAST,100
BLUEDART,75
BLUEJET,67
BLUEPEBBLE,83.33
BLUESTARCO,-1
BLUESTINFO,
BMAL,
BMBMUMG,
BMETRICS,12.5
BMW,50
BNALTD,75
BNANJEN,
BNHOLDINGS,12
BNL,12
BNRSEC,100
BNRUDY,50
BOBSHELL,
BODALCHEM,38
BODHTREE,
BOHRAIND,0
BOMBCYC,50
BOMBPOT,
BOMBWIR,38
BOMDYEING,75
BOMOXY-B1,75
BOMTALKIES,75
BONDADA,
BONLON,0
BOROLTD,62
BORORENEW,75
BOROSCI,-1
BOSCHLTD,75
BOSTONBIO,
BPCAP,62
BPCL,38
BPL,100
BPLPHARMA,38
BPTEX,75
BRADYM,62
BRAHMINFRA,75
BRANDBUCKT,
BRAWN,100
BRFL,
BRIDGESE,50
BRIGADE,100
BRIGHT,12.5
BRIGHT,
BRIGHTBR,25
BRIJLEAS,50
BRIPORT,
BRISK,
BRITANNIA,62
BRNL,0
BROOKS,12
BRPL,12
BRRL,
BSE,25
BSELALGO,25
BSHSL,0
BSL,88
BSOFT,50
BTML,0
BTTL,62
BURNPUR,50
BUTTERFLY,50
BVCL,62
BVL,
BYKE,75
CADSYS,
CALCOM,0
CALSOFT,50
CALSREF,
CAMEXLTD,100
CAMLINFINE,25
CAMPUS,62
CAMS,75
CAMSONBIO,
CAMSONSEEDS,
CANARYS,0
CANBK,50
CANDC,
CANDOUR,62
CANFINHOME,75
CANOPYFIN,
CANTABIL,62
CAPACITE,75
CAPFIN,50
CAPITALSFB,33
CAPLIPOINT,62
CAPPIPES,12
CAPRICORN,62
CAPRIHANS,0
CAPRO,88
CAPTRUST,38
CARBORUNIV,75
CAREERP,62
CARERATING,50
CARGOSOL,
CARGOTRANS,
CARNATIN,12
CARTRADE,62
CARYSIL,25
CASPIAN,75
CASTROLIND,75
CATECH,
CATVISION,38
CBAZAAR,0
CBPL,
CCAL,
CCCL,
CCFCL,100
CCHHL,100
CCL,38
CCLINTER,38
CDG,0
CDSL,50
CEATLTD,62
CEEJAY,62
CEENIK,100
CEETAIN,38
CEINSYSTECH,38
CELEBRITY,62
CELESTIAL,
CELLA,50
CELLECOR,0
CELLO,67
CELLPOINT,0
CENLUB,12
CENTENKA,62
CENTERAC,
CENTEXT,50
CENTPROV,
CENTRALBK,50
CENTRUM,62
CENTUM,25
CENTURYPLY,62
CENTURYTEX,75
CERA,100
CEREBRAINT,0
CESC,75
CESL,-1
CFEL,0
CFF,
CFL,62
CGCL,25
CGFL,75
CGPOWER,100
CGRAPHICS,16.67
CGVAK,0
CHABRASP,
CHADPAP,-1
CHALET,62
CHALLANI,0
CHAMAK,
CHAMBLFERT,75
CHANDNIMACH,38
CHANDRAP,0
CHANDRIMA,75
CHARMS,75
CHASBRT,-1
CHATHA,
CHAVDA,0
CHCL,
CHDCHEM,12
CHDDLTD,
CHECKPOINT,50
CHEMBOND,75
CHEMCON,88
CHEMCRUX,38
CHEMFAB,62
CHEMIESYNT,-1
CHEMOPH,25
CHEMPLASTS,62
CHEMTECH,100
CHENFERRO,62
CHENNPETRO,62
CHEVIOT,75
CHLLTD,38
CHLOGIST,62
CHMBBRW,75
CHOICEIN,100
CHOKINT,
CHOKSI,75
CHOKSILA,0
CHOLAFIN,75
CHOLAHLDNG,75
CHORDIA,38
CHOTHANI,
CHOWGULSTM,62
CHPLIND,
CHROME,25
CHRTEDCA,38
CIANAGRO,50
CIEINDIA,75
CIFL,0
CIGNITITEC,75
CIL,50
CILSEC,25
CIMMCO,
CINDHO,0
CINDRELL,25
CINELINE,75
CINERAD,38
CINEVISTA,38
CIPLA,62
CISTRO,75
CITADEL,50
CITIPOR,38
CITL,50
CITURGIA,
CITYMAN,62
CITYON,
CITYONLINE,75
CJGEL,25
CKFSL,
CLARA,
CLASELE,
CLEAN,100
CLEDUCATE,50
CLFL,0
CLIOINFO,62
CLLIMITED,
CLOUD,37.5
CLSEL,25
CLSL,0
CMBL,50
CMICABLES,0
CML,
CMMHOSP,38
CMMIPL,
CMNL,37.5
CMRSL,75
CMSINFO,75
CNCRD,
CNEL,
CNIRESLTD,75
CNOVAPETRO,
COALINDIA,50
COARO,0
COASTCORP,12
COCHINM,12
COCHINSHIP,62
COCHMAL,75
COCKERILL,100
COFFEEDAY,38
COFORGE,38
COLABCLOUD,62
COLINZ,38
COLORCHIPS,
COLPAL,62
COMCL,75
COMFINCAP,25
COMFINTE,
COMMAND,
COMMEXTECH,
COMMITTED,0
COMPEAU,75
COMPINFO,0
COMPUPN,50
COMPUSOFT,25
COMRADE,
COMSYN,25
CONART,75
CONCOR,50
CONCORD,38
CONCORDBIO,50
CONCRETE,62
CONFINT,50
CONFIPET,25
CONSOFINVT,38
CONSTRONIC,38
CONTAINE,
CONTAINER,75
CONTCHM,62
CONTI,50
CONTICON,25
CONTILI,88
CONTPTR,38
CONTROLPR,12
COOLCAPS,0
CORAGRO,-1
CORALAB,100
CORALFINAC,25
CORDSCABLE,75
CORNE,88
COROENGG,50
COROMANDEL,75
CORPOCO,
COSBOARD,
COSCO,38
COSMICCRF,
COSMOFE,12
COSMOFIRST,75
COSPOWER,
COSYN,25
COTFAB,
COUNCODOS,25
COVENTRY,
COVIDH,
CPL,25
CPML,
CPS,
CRAFTSMAN,62
CRANEINFRA,75
CRANESSOFT,100
CRANEX,62
CRAVATEX,0
CRAYONS,12.5
